"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","hc_stimulus","hc_response_key","hc_correct","num_instr","eq_assignment","instr_assignment","song","m1","m2","gain","audioFileA","audioFileB","audioFileC","question_song","eq_array","odd_man_out"
"2566","Welcome to the experiment!<br><br><b/>Please note that headphones are required for this experiment, and that background noise will make the task difficult.</b>
                <br>If you haven't done so already, please put on headphones and move to a quiet environment.<br><br>Then, press the space bar to begin."," ","html-keyboard-response","0","2574","0.0-0.0","abtp","","","","","","","","","","","","","","","","","","",""
"362","First, we'll go through a quick exercise to make sure you're wearing headphones.<br><br>
                Set your volume at 20%, then press the space bar to continue."," ","html-keyboard-response","1","3444","0.0-1.0","abtp","","","","","","","","","","","","","","","","","","",""
"1033","headphone_check_files/norm_noise_calib_stim.wav","1","audio-button-response","2","4538","0.0-2.0-0.0","abtp","","","","","","","","","","","","","","","","","","",""
"297","In each of the following trials, you will hear three sounds separated by silence.<br><br>
                  <b/>Your task is to judge which sound was the SOFTEST - 1, 2, or 3.</b><br><br>
                  Please note that test sounds will only play once.<br><br>
                  Press the space bar to continue."," ","html-keyboard-response","3","4835","0.0-3.0","abtp","","","","","","","","","","","","","","","","","","",""
"1003","headphone_check_files/norm_antiphase_HC_ISO.wav","1","audio-button-response","4","5860","0.0-4.0-0.0","abtp","","","headphone_check","headphone_check_files/norm_antiphase_HC_ISO.wav","1","true","","","","","","","","","","","","",""
"376","headphone_check_files/norm_antiphase_HC_IOS.wav","2","audio-button-response","5","6256","0.0-4.0-0.1","abtp","","","headphone_check","headphone_check_files/norm_antiphase_HC_IOS.wav","2","true","","","","","","","","","","","","",""
"467","headphone_check_files/norm_antiphase_HC_SOI.wav","0","audio-button-response","6","6743","0.0-4.0-0.2","abtp","","","headphone_check","headphone_check_files/norm_antiphase_HC_SOI.wav","0","true","","","","","","","","","","","","",""
"144","headphone_check_files/norm_antiphase_HC_SIO.wav","0","audio-button-response","7","6909","0.0-4.0-0.3","abtp","","","headphone_check","headphone_check_files/norm_antiphase_HC_SIO.wav","0","true","","","","","","","","","","","","",""
"314","headphone_check_files/norm_antiphase_HC_OSI.wav","1","audio-button-response","8","7244","0.0-4.0-0.4","abtp","","","headphone_check","headphone_check_files/norm_antiphase_HC_OSI.wav","1","true","","","","","","","","","","","","",""
"367","headphone_check_files/norm_antiphase_HC_OIS.wav","2","audio-button-response","9","7637","0.0-4.0-0.5","abtp","","","headphone_check","headphone_check_files/norm_antiphase_HC_OIS.wav","2","true","","","","","","","","","","","","",""
"151","<p>Great!  You passed the headphone check.<br><br>
                    Press the space bar to continue."," ","html-keyboard-response","10","7789","0.0-5.0","abtp","","","","","","","","","","","","","","","","","","",""
