"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","hc_stimulus","hc_response_key","hc_correct","num_instr","eq_assignment","instr_assignment","song","m1","m2","gain","audioFileA","audioFileB","audioFileC","question_song","eq_array","odd_man_out"
"307","Welcome to the experiment!<br><br><b/>Please note that headphones are required for this experiment, and that background noise will make the task difficult.</b>
                <br>If you haven't done so already, please put on headphones and move to a quiet environment.<br><br>Then, press the space bar to begin."," ","html-keyboard-response","0","307","0.0-0.0","co6w","","","","","","","","","","","","","","","","","","",""
"1819","First, we'll go through a quick exercise to make sure you're wearing headphones.<br><br>
                Set your volume at 20%, then press the space bar to continue."," ","html-keyboard-response","1","2628","0.0-1.0","co6w","","","","","","","","","","","","","","","","","","",""
"1000","headphone_check_files/norm_noise_calib_stim.wav","1","audio-button-response","2","3682","0.0-2.0-0.0","co6w","","","","","","","","","","","","","","","","","","",""
"216","In each of the following trials, you will hear three sounds separated by silence.<br><br>
                  <b/>Your task is to judge which sound was the SOFTEST - 1, 2, or 3.</b><br><br>
                  Please note that test sounds will only play once.<br><br>
                  Press the space bar to continue."," ","html-keyboard-response","3","3898","0.0-3.0","co6w","","","","","","","","","","","","","","","","","","",""
"1155","headphone_check_files/norm_antiphase_HC_ISO.wav","1","audio-button-response","4","5074","0.0-4.0-0.0","co6w","","","headphone_check","headphone_check_files/norm_antiphase_HC_ISO.wav","1","true","","","","","","","","","","","","",""
"676","headphone_check_files/norm_antiphase_HC_IOS.wav","2","audio-button-response","5","5774","0.0-4.0-0.1","co6w","","","headphone_check","headphone_check_files/norm_antiphase_HC_IOS.wav","2","true","","","","","","","","","","","","",""
"436","headphone_check_files/norm_antiphase_HC_SOI.wav","0","audio-button-response","6","6233","0.0-4.0-0.2","co6w","","","headphone_check","headphone_check_files/norm_antiphase_HC_SOI.wav","0","true","","","","","","","","","","","","",""
"224","headphone_check_files/norm_antiphase_HC_SIO.wav","0","audio-button-response","7","6481","0.0-4.0-0.3","co6w","","","headphone_check","headphone_check_files/norm_antiphase_HC_SIO.wav","0","true","","","","","","","","","","","","",""
"431","headphone_check_files/norm_antiphase_HC_OSI.wav","1","audio-button-response","8","6938","0.0-4.0-0.4","co6w","","","headphone_check","headphone_check_files/norm_antiphase_HC_OSI.wav","1","true","","","","","","","","","","","","",""
"428","headphone_check_files/norm_antiphase_HC_OIS.wav","2","audio-button-response","9","7392","0.0-4.0-0.5","co6w","","","headphone_check","headphone_check_files/norm_antiphase_HC_OIS.wav","2","true","","","","","","","","","","","","",""
"273","<p>Great!  You passed the headphone check.<br><br>
                    Press the space bar to continue."," ","html-keyboard-response","10","7666","0.0-5.0","co6w","","","","","","","","","","","","","","","","","","",""
"550","Now, it's time for the experiment.<br><br>
                  In each of the following trials, you will hear an audio track that consists of one or more musicians, each
                  playing a single instrument.<br><br>
                  <b/>Your task is to report how many musicians you hear playing.</b><br><br>
                  Each track will only play once!<br><br>
                  Press the space bar to continue."," ","html-keyboard-response","11","8216","0.0-6.0","co6w","","","","","","","","","","","","","","","","","","",""
"980","audio/set2/output/control/2_two_instr_norm.wav","3","audio-button-response","12","9224","0.0-7.0-0.0","co6w","","","trials","","","","2","control","2_two_instr_norm","2","control","control","control","","","","","",""
"110","audio/set0/output/m1boost_m2cut_8dB/2_two_instr_norm.wav","3","audio-button-response","13","9360","0.0-7.0-0.1","co6w","","","trials","","","","2","m1boost_m2cut_8dB","2_two_instr_norm","0","m1boost","m2cut","8dB","","","","","",""
"126","audio/set1/output/m1cut_m2boost_8dB/3_one_extra_norm.wav","3","audio-button-response","14","9511","0.0-7.0-0.2","co6w","","","trials","","","","3","m1cut_m2boost_8dB","3_one_extra_norm","1","m1cut","m2boost","8dB","","","","","",""
"117","audio/set2/output/mirrored_8dB/3_one_extra_norm.wav","3","audio-button-response","15","9657","0.0-7.0-0.3","co6w","","","trials","","","","3","mirrored_8dB","3_one_extra_norm","2","mirrored","mirrored","8dB","","","","","",""
"92","audio/set0/output/control/4_two_extra_norm.wav","3","audio-button-response","16","9774","0.0-7.0-0.4","co6w","","","trials","","","","4","control","4_two_extra_norm","0","control","control","control","","","","","",""
"141","audio/set1/output/control/5_three_extra_norm.wav","3","audio-button-response","17","9940","0.0-7.0-0.5","co6w","","","trials","","","","5","control","5_three_extra_norm","1","control","control","control","","","","","",""
"98","audio/set2/output/mirrored_5dB/5_three_extra_norm.wav","3","audio-button-response","18","10064","0.0-7.0-0.6","co6w","","","trials","","","","5","mirrored_5dB","5_three_extra_norm","2","mirrored","mirrored","5dB","","","","","",""
"138","audio/set0/output/control/3_one_extra_norm.wav","3","audio-button-response","19","10229","0.0-7.0-0.7","co6w","","","trials","","","","3","control","3_one_extra_norm","0","control","control","control","","","","","",""
"145","audio/set1/output/m1cut_m2boost_8dB/2_two_instr_norm.wav","3","audio-button-response","20","10401","0.0-7.0-0.8","co6w","","","trials","","","","2","m1cut_m2boost_8dB","2_two_instr_norm","1","m1cut","m2boost","8dB","","","","","",""
"89","audio/set2/output/m1cut_m2boost_5dB/4_two_extra_norm.wav","3","audio-button-response","21","10521","0.0-7.0-0.9","co6w","","","trials","","","","4","m1cut_m2boost_5dB","4_two_extra_norm","2","m1cut","m2boost","5dB","","","","","",""
"131","audio/set0/output/mirrored_8dB/5_three_extra_norm.wav","3","audio-button-response","22","10677","0.0-7.0-0.10","co6w","","","trials","","","","5","mirrored_8dB","5_three_extra_norm","0","mirrored","mirrored","8dB","","","","","",""
"131","audio/set1/output/m1boost_m2cut_5dB/4_two_extra_norm.wav","3","audio-button-response","23","10838","0.0-7.0-0.11","co6w","","","trials","","","","4","m1boost_m2cut_5dB","4_two_extra_norm","1","m1boost","m2cut","5dB","","","","","",""
"517","Thank you!  We have one more task for you.<br><br>
                Each of the following sets of audio clips feature two musicians playing.<br><br>
                <b>Your task is to choose which of the three clips does not sound the same as the other two.</b><br><br>
                Ready?  Press the space bar to continue. "," ","html-keyboard-response","24","11355","0.0-8.0","co6w","","","","","","","","","","","","","","","","","","",""
"1606","<div><p>Please listen to these three audio mixes:</p><audio controls id=""audio1""><source src=""audio/set1/output/mirrored_8dB/2_two_instr_norm.wav"" type=""audio/mpeg""></audio><audio controls id=""audio2""><source src=""audio/set1/output/control/2_two_instr_norm.wav"" type=""audio/mpeg""></audio><audio controls id=""audio3""><source src=""audio/set1/output/mirrored_8dB/2_two_instr_norm.wav"" type=""audio/mpeg""></audio><p>And select which file is not like the other two.</p></div>","1","html-button-response","25","12964","0.0-9.0-0.0","co6w","","","question","","","","","","","","","","","audio/set1/output/mirrored_8dB/2_two_instr_norm.wav","audio/set1/output/control/2_two_instr_norm.wav","audio/set1/output/mirrored_8dB/2_two_instr_norm.wav","set1","[""mirrored_8dB"",""control"",""mirrored_8dB""]","1"
"531","<div><p>Please listen to these three audio mixes:</p><audio controls id=""audio1""><source src=""audio/set0/output/control/2_two_instr_norm.wav"" type=""audio/mpeg""></audio><audio controls id=""audio2""><source src=""audio/set0/output/control/2_two_instr_norm.wav"" type=""audio/mpeg""></audio><audio controls id=""audio3""><source src=""audio/set0/output/mirrored_8dB/2_two_instr_norm.wav"" type=""audio/mpeg""></audio><p>And select which file is not like the other two.</p></div>","1","html-button-response","26","13498","0.0-9.0-0.1","co6w","","","question","","","","","","","","","","","audio/set0/output/control/2_two_instr_norm.wav","audio/set0/output/control/2_two_instr_norm.wav","audio/set0/output/mirrored_8dB/2_two_instr_norm.wav","set0","[""control"",""control"",""mirrored_8dB""]","2"
"2872","<div><p>Please listen to these three audio mixes:</p><audio controls id=""audio1""><source src=""audio/set2/output/mirrored_8dB/2_two_instr_norm.wav"" type=""audio/mpeg""></audio><audio controls id=""audio2""><source src=""audio/set2/output/control/2_two_instr_norm.wav"" type=""audio/mpeg""></audio><audio controls id=""audio3""><source src=""audio/set2/output/mirrored_8dB/2_two_instr_norm.wav"" type=""audio/mpeg""></audio><p>And select which file is not like the other two.</p></div>","2","html-button-response","27","16372","0.0-9.0-0.2","co6w","","","question","","","","","","","","","","","audio/set2/output/mirrored_8dB/2_two_instr_norm.wav","audio/set2/output/control/2_two_instr_norm.wav","audio/set2/output/mirrored_8dB/2_two_instr_norm.wav","set2","[""mirrored_8dB"",""control"",""mirrored_8dB""]","1"
